model,selector,method,mase_ratio,mase_change_pct,flops_saved_pct,harm5_pct,coverage_pct,n_cells,n_instances,source,on_selector_pareto,on_union_pareto
Chronos2-Base,ExtraTrees,dense_068,1.0919404907221613,9.194049072216126,91.85614792899524,35.332653317260224,85.8691205428492,97,366658,logs/experiments/master_recompute/context_selection_reviewer_followups/fronts/chronos2_base/full_score/real_evaluation.json,True,True
Chronos2-Base,ExtraTrees,dense_069,1.0974579653071925,9.745796530719254,92.07511065439327,36.00248733151874,86.39904215917831,97,366658,logs/experiments/master_recompute/context_selection_reviewer_followups/fronts/chronos2_base/full_score/real_evaluation.json,True,True
Chronos2-Base,ExtraTrees,dense_070,1.1035599756566496,10.355997565664964,92.28395519190178,36.63004761930736,86.85723480736817,97,366658,logs/experiments/master_recompute/context_selection_reviewer_followups/fronts/chronos2_base/full_score/real_evaluation.json,True,True
Chronos2-Base,ExtraTrees,dense_073,1.1193412148485815,11.934121484858151,92.89471768397404,38.42436275766518,88.24926770996406,97,366658,logs/experiments/master_recompute/context_selection_reviewer_followups/fronts/chronos2_base/full_score/real_evaluation.json,True,True
Chronos2-Base,ExtraTrees,dense_074,1.1276382354689483,12.763823546894827,93.06577200074912,38.96437552160324,88.6902781338468,97,366658,logs/experiments/master_recompute/context_selection_reviewer_followups/fronts/chronos2_base/full_score/real_evaluation.json,True,True
Chronos2-Base,ExtraTrees,dense_075,1.1331199155238476,13.311991552384761,93.25174650024503,39.490478865864105,89.19347184569817,97,366658,logs/experiments/master_recompute/context_selection_reviewer_followups/fronts/chronos2_base/full_score/real_evaluation.json,True,True
Chronos2-Base,ExtraTrees,dense_076,1.1441134947001137,14.41134947001137,93.42718156142656,40.01440034037168,89.68766534481723,97,366658,logs/experiments/master_recompute/context_selection_reviewer_followups/fronts/chronos2_base/full_score/real_evaluation.json,True,True
Chronos2-Base,ExtraTrees,dense_077,1.1489551053837697,14.895510538376966,93.60708453934723,40.609505315580186,90.19113179038777,97,366658,logs/experiments/master_recompute/context_selection_reviewer_followups/fronts/chronos2_base/full_score/real_evaluation.json,True,True
Chronos2-Base,ExtraTrees,dense_078,1.1537342478649697,15.373424786496969,93.78233101201143,41.18988266995402,90.71287139514207,97,366658,logs/experiments/master_recompute/context_selection_reviewer_followups/fronts/chronos2_base/full_score/real_evaluation.json,True,True
Chronos2-Base,ExtraTrees,dense_079,1.1634060141560576,16.34060141560576,93.94898264526667,41.715986014214884,91.24470214750531,97,366658,logs/experiments/master_recompute/context_selection_reviewer_followups/fronts/chronos2_base/full_score/real_evaluation.json,True,True
Chronos2-Base,ExtraTrees,dense_080,1.1704146203997043,17.041462039970433,94.08910127174403,42.17363319496643,91.78935138466909,97,366658,logs/experiments/master_recompute/context_selection_reviewer_followups/fronts/chronos2_base/full_score/real_evaluation.json,True,True
Chronos2-Base,ExtraTrees,dense_081,1.1785240866807782,17.852408668077825,94.23167211320876,42.6615538185448,92.38609276219256,97,366658,logs/experiments/master_recompute/context_selection_reviewer_followups/fronts/chronos2_base/full_score/real_evaluation.json,True,True
Chronos2-Base,ExtraTrees,dense_082,1.1858720194978274,18.587201949782738,94.36385817211169,43.09656410060602,92.92255998778153,97,366658,logs/experiments/master_recompute/context_selection_reviewer_followups/fronts/chronos2_base/full_score/real_evaluation.json,True,True
Chronos2-Base,ExtraTrees,dense_083,1.195846787915554,19.58467879155541,94.4884004201231,43.484391449252435,93.24874951589764,97,366658,logs/experiments/master_recompute/context_selection_reviewer_followups/fronts/chronos2_base/full_score/real_evaluation.json,True,True
Chronos2-Base,ExtraTrees,dense_084,1.2076289554035804,20.762895540358038,94.60993309982558,43.83921801788042,93.51330122348347,97,366658,logs/experiments/master_recompute/context_selection_reviewer_followups/fronts/chronos2_base/full_score/real_evaluation.json,True,True
Chronos2-Base,ExtraTrees,dense_085,1.2154955479589675,21.549554795896753,94.72019024040725,44.16977128550311,93.73694287319519,97,366658,logs/experiments/master_recompute/context_selection_reviewer_followups/fronts/chronos2_base/full_score/real_evaluation.json,True,True
Chronos2-Base,ExtraTrees,dense_086,1.2277616858886686,22.776168588866863,94.82446061788237,44.475505784682184,93.94667510322972,97,366658,logs/experiments/master_recompute/context_selection_reviewer_followups/fronts/chronos2_base/full_score/real_evaluation.json,True,True
Chronos2-Base,ExtraTrees,dense_087,1.2365044930474574,23.650449304745734,94.93532895807229,44.78778589312111,94.18968084700184,97,366658,logs/experiments/master_recompute/context_selection_reviewer_followups/fronts/chronos2_base/full_score/real_evaluation.json,True,True
Chronos2-Base,ExtraTrees,dense_088,1.2475713580923116,24.75713580923116,95.03772983691555,45.0850656470062,94.42014083969258,97,366658,logs/experiments/master_recompute/context_selection_reviewer_followups/fronts/chronos2_base/full_score/real_evaluation.json,True,True
