dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
ett1/15T/short,Chronos-2-Synth,5.584258161272321,5.584258161272321,1.13715086437407,0.6937849408185501,0.5150412581661331,0.2320850372314453,4.8888384527913855,2.3631035020227786,0.4467248773463393,0.2149688238272068,0.16834457786201745,Energy,7
ett1/D/short,Chronos-2-Synth,41705.85396825397,41705.85396825397,135.25633680555555,1.6473303481655612,1.1368063306051588,0.47727738637772815,12.881674897461828,204.2201115665496,0.5363908970798501,0.35525525511831973,0.2757008210030695,Energy,7
ett1/H/long,Chronos-2-Synth,163.34264219576718,163.34264219576718,7.656326471560846,1.4146557808356803,4134999578627.657,0.4786190941220238,12.811649119504686,12.78055719426063,0.6120332032680461,0.3666448922711783,0.3096447603742983,Energy,7
ett1/H/medium,Chronos-2-Synth,155.19994419642856,155.19994419642856,7.438834635416667,1.3921444103835061,4399629119783.946,0.44881402878534227,11.541074172028337,12.457926962236877,0.5967051700794436,0.35630254534115147,0.2895745427099732,Energy,7
ett1/H/short,Chronos-2-Synth,97.9201915922619,97.9201915922619,4.9486310686383925,0.8188669089694061,0.5129561651320684,0.2610577537899926,5.821784514239439,9.895463182300357,0.4618617507346262,0.23097285766160286,0.17904820972191957,Energy,7
ett1/W/short,Chronos-2-Synth,1277266.857142857,1277266.857142857,901.1335797991071,1.5544519258384428,0.6900087084089007,0.5641817705971854,8.794015398913894,1130.1623145118833,0.4497185593746589,0.3585825594321058,0.26430613170150624,Energy,7
ett2/15T/long,Chronos-2-Synth,11.959277033730158,11.959277033730158,2.138247612847222,0.8870302940235181,0.13569047509207663,0.16518651568700396,7.298914976644507,3.4582187660311714,0.1842947256924225,0.1139510782669219,0.09380731432190006,Energy,7
ett2/15T/medium,Chronos-2-Synth,11.529809027777778,11.529809027777778,2.101476779513889,0.8671634129821371,0.130831289897771,0.1591310531374008,6.71641001044967,3.395557248490707,0.18095538021780289,0.11199149412805445,0.08934725301827626,Energy,7
ett2/15T/short,Chronos-2-Synth,8.156113978794643,8.156113978794643,1.7704764229910714,0.7589512486691441,0.10775694254655459,0.12701343354724703,4.857620242533299,2.855891100653987,0.1355793102546512,0.08405081419115856,0.06571720501058526,Energy,7
ett2/D/short,Chronos-2-Synth,141351.3396825397,141351.3396825397,233.61190476190475,1.9590256342119123,0.475348142593626,0.1872430226159474,20.642475734108604,375.9672055945035,0.21517592688716347,0.13370224155463814,0.11452455361172492,Energy,7
ett2/H/long,Chronos-2-Synth,275.0396329365079,275.0396329365079,10.707279265873016,1.4048195895460436,0.23164182587883445,0.26973834971271493,11.523158553489685,16.58431888672272,0.22710948291917382,0.14662794861538947,0.1263864678082209,Energy,7
ett2/H/medium,Chronos-2-Synth,305.04408482142856,305.04408482142856,11.085732886904761,1.2958629457973854,0.21209201943119507,0.2169320061093285,10.243040241363104,17.465511295734476,0.2353589816110964,0.14938737025762078,0.12334327764259978,Energy,7
ett2/H/short,Chronos-2-Synth,109.75900297619047,109.75900297619047,6.547845168340774,0.7641742613943926,0.12328892319901438,0.11454206194196428,5.573024034067969,10.476593099676558,0.13287235061160613,0.08304489548087408,0.06595576729366907,Energy,7
ett2/W/short,Chronos-2-Synth,2755152.285714286,2755152.285714286,1146.5311104910713,0.7490738241518227,0.11520302295684814,0.11881665672574725,9.738629449948728,1659.8651408214723,0.13923721196023262,0.09617636476867028,0.08516094585004161,Energy,7
hierarchical_sales/D/short,Chronos-2-Synth,29.93920525010335,29.93920525010335,2.344711948377429,0.7522379948739162,0.6570393382671011,1.0760787806169905,6.943891672130294,5.471672984572757,1.6786486765439637,0.7193316596437495,0.5880571537219734,Sales,1
hierarchical_sales/W/short,Chronos-2-Synth,445.4257150423729,445.4257150423729,8.748261015293961,0.7106052092971481,0.5180295228893289,0.4509641356387381,6.347031843204885,21.105111111822485,0.9689459744214586,0.4016369423048865,0.34014575182035167,Sales,1
hospital/M/short,Chronos-2-Synth,2729.7179487179487,2729.7179487179487,17.56463392275098,0.7523552122671665,0.1918299814661085,0.1723113576001263,4.972380284574713,52.246702754508334,0.1896676634235546,0.06376369989646502,0.050546917307792254,Healthcare,1
jena_weather/10T/long,Chronos-2-Synth,1425.414814814815,1425.414814814815,9.570665922619048,0.6440973923078107,0.7976430754771839,0.6528769841269841,6.652453068119601,37.75466613300686,0.23102727591587544,0.05856454587663657,0.05332259249899089,Nature,21
jena_weather/10T/medium,Chronos-2-Synth,1774.8079365079366,1774.8079365079366,10.225537743506493,0.5883983170481839,0.6694474164636656,0.6547924839917028,5.966215182178999,42.12846942992276,0.25854166807194234,0.06275394337637634,0.05253747537721895,Nature,21
jena_weather/10T/short,Chronos-2-Synth,985.1757936507937,985.1757936507937,6.222515966021826,0.2788170059661448,0.40503381854857134,0.5525265648251488,2.233221229554565,31.387510153734617,0.19495579170895896,0.03864962593833143,0.03223895604659491,Nature,21
jena_weather/D/short,Chronos-2-Synth,392.39717261904764,392.39717261904764,9.9750248015873,1.1348972810988334,0.7375609112269987,0.45579611157614086,7.234589382430787,19.809017457184687,0.11928266143004805,0.060065952727630885,0.04742439027727278,Nature,21
jena_weather/H/long,Chronos-2-Synth,2394.284656084656,2394.284656084656,14.77403480489418,1.267679650655475,3.1166675060435134,0.7130996300429894,9.252843387598933,48.931428101830996,0.29462143888950554,0.08895606691394892,0.06779476185436682,Nature,21
jena_weather/H/medium,Chronos-2-Synth,1492.922123015873,1492.922123015873,10.89689205109127,0.8118882579809137,2.765196239358812,0.6971216110956101,6.8297068834007275,38.63835041789275,0.2364349008967942,0.06668000999829796,0.05497246892051641,Nature,21
jena_weather/H/short,Chronos-2-Synth,1081.71835839599,1081.71835839599,8.474234903665414,0.5392669167965849,2.194339662941887,0.613093504431652,4.609704578589101,32.88948704975482,0.20161045442709344,0.05194651857188684,0.04272091692511895,Nature,21
